task1,task2,seed,mode,lr,steps,eps,warmup_steps,lambda_kl,task1_success_rate,task2_success_rate,avg_success_rate,harmonic_mean_success_rate,auc_task1,auc_task2,avg_auc
7,6,42,cotraining,5e-05,200,1.0,0,1.0,0.9,0.5,0.7,0.6429,0.925,0.635,0.78
7,6,42,cotraining,2.5e-05,200,1.0,0,1.0,0.8,0.6,0.7,0.6857,0.96,0.68,0.82
3,1,42,noaugment,5e-05,200,1.0,0,1.0,0.0,1.0,0.5,0.0,0.215,0.83,0.5225
3,1,42,noaugment,2.5e-05,200,1.0,0,1.0,0.8,0.8,0.8,0.8,0.81,0.7,0.755
3,1,42,noaugment,2.5e-05,200,0.5,0,1.0,1.0,0.0,0.5,0.0,0.82,0.66,0.74
3,1,42,noaugment,2.5e-05,200,0.75,0,1.0,1.0,0.3,0.65,0.4615,0.82,0.675,0.7475
3,1,42,noaugment,5e-05,200,0.5,0,1.0,0.7,0.1,0.4,0.175,0.25,0.785,0.5175
3,1,42,noaugment,5e-05,200,0.75,0,1.0,0.6,0.7,0.65,0.6462,0.245,0.815,0.53
4,5,42,noaugment,5e-05,200,1.0,0,1.0,0.0,1.0,0.5,0.0,0.125,0.88,0.5025
4,5,42,noaugment,2.5e-05,200,1.0,0,1.0,0.1,1.0,0.55,0.1818,0.325,0.86,0.5925
4,5,42,noaugment,2.5e-05,200,0.5,0,1.0,0.9,0.5,0.7,0.6429,0.365,0.835,0.6
4,5,42,noaugment,2.5e-05,200,0.75,0,1.0,0.5,0.7,0.6,0.5833,0.345,0.845,0.595
4,5,42,noaugment,5e-05,200,0.5,0,1.0,1.0,0.4,0.7,0.5714,0.175,0.85,0.5125
4,5,42,noaugment,5e-05,200,0.75,0,1.0,0.2,0.9,0.55,0.3273,0.135,0.875,0.505
1,3,42,noaugment,5e-05,200,1.0,0,1.0,0.1,1.0,0.55,0.1818,0.06,0.905,0.4825
1,3,42,noaugment,2.5e-05,200,1.0,0,1.0,0.1,1.0,0.55,0.1818,0.3,0.905,0.6025
1,3,42,noaugment,2.5e-05,200,0.5,0,1.0,0.6,1.0,0.8,0.75,0.325,0.905,0.615
1,3,42,noaugment,2.5e-05,200,0.75,0,1.0,0.2,1.0,0.6,0.3333,0.305,0.905,0.605
1,3,42,noaugment,5e-05,200,0.5,0,1.0,0.7,0.9,0.8,0.7875,0.09,0.9,0.495
1,3,42,noaugment,5e-05,200,0.75,0,1.0,0.3,0.9,0.6,0.45,0.07,0.9,0.485
5,4,42,noaugment,5e-05,200,1.0,0,1.0,0.0,0.9,0.45,0.0,0.08,0.855,0.4675
5,4,42,noaugment,2.5e-05,200,1.0,0,1.0,0.0,0.8,0.4,0.0,0.105,0.745,0.425
5,4,42,noaugment,2.5e-05,200,0.5,0,1.0,0.6,0.6,0.6,0.6,0.135,0.735,0.435
5,4,42,noaugment,2.5e-05,200,0.75,0,1.0,0.2,0.8,0.5,0.32,0.115,0.745,0.43
5,4,42,noaugment,5e-05,200,0.5,0,1.0,0.9,0.6,0.75,0.72,0.125,0.84,0.4825
5,4,42,noaugment,5e-05,200,0.75,0,1.0,0.1,1.0,0.55,0.1818,0.085,0.86,0.4725
6,7,42,noaugment,5e-05,200,1.0,0,1.0,0.0,1.0,0.5,0.0,0.0,0.995,0.4975
6,7,42,noaugment,2.5e-05,200,1.0,0,1.0,0.0,1.0,0.5,0.0,0.005,1.0,0.5025
6,7,42,noaugment,2.5e-05,200,0.5,0,1.0,0.0,1.0,0.5,0.0,0.005,1.0,0.5025
6,7,42,noaugment,2.5e-05,200,0.75,0,1.0,0.0,1.0,0.5,0.0,0.005,1.0,0.5025
6,7,42,noaugment,5e-05,200,0.5,0,1.0,0.0,1.0,0.5,0.0,0.0,0.995,0.4975
6,7,42,noaugment,5e-05,200,0.75,0,1.0,0.0,1.0,0.5,0.0,0.0,0.995,0.4975
7,6,42,noaugment,5e-05,200,1.0,0,1.0,0.0,0.9,0.45,0.0,0.05,0.775,0.4125
7,6,42,noaugment,2.5e-05,200,1.0,0,1.0,0.0,0.7,0.35,0.0,0.045,0.785,0.415
7,6,42,noaugment,2.5e-05,200,0.5,0,1.0,0.7,0.1,0.4,0.175,0.08,0.755,0.4175
7,6,42,noaugment,2.5e-05,200,0.75,0,1.0,0.0,0.7,0.35,0.0,0.045,0.785,0.415
7,6,42,noaugment,5e-05,200,0.5,0,1.0,0.8,0.2,0.5,0.32,0.09,0.74,0.415
7,6,42,noaugment,5e-05,200,0.75,0,1.0,0.0,1.0,0.5,0.0,0.05,0.78,0.415
1,3,42,onpolicy_self_replay,5e-05,200,1.0,0,1.0,0.4,1.0,0.7,0.5714,0.285,0.81,0.5475
1,3,42,onpolicy_self_replay,2.5e-05,200,1.0,0,1.0,0.1,0.8,0.45,0.1778,0.125,0.825,0.475
1,3,42,onpolicy_self_replay,2.5e-05,200,0.5,0,1.0,0.7,0.9,0.8,0.7875,0.155,0.83,0.4925
1,3,42,onpolicy_self_replay,2.5e-05,200,0.75,0,1.0,0.0,0.9,0.45,0.0,0.12,0.83,0.475
1,3,42,onpolicy_self_replay,5e-05,200,0.5,0,1.0,0.9,0.8,0.85,0.8471,0.31,0.8,0.555
1,3,42,onpolicy_self_replay,5e-05,200,0.75,0,1.0,0.5,1.0,0.75,0.6667,0.29,0.81,0.55
1,3,42,onpolicy_self_replay,2.5e-05,200,1.0,20,1.0,0.1,0.8,0.45,0.1778,0.105,0.77,0.4375
1,3,42,onpolicy_self_replay,2.5e-05,200,0.75,20,1.0,0.0,0.8,0.4,0.0,0.1,0.77,0.435
1,3,42,onpolicy_self_replay,5e-05,200,1.0,20,1.0,0.4,1.0,0.7,0.5714,0.42,0.88,0.65
1,3,42,onpolicy_self_replay,5e-05,200,0.75,20,1.0,0.6,0.6,0.6,0.6,0.43,0.86,0.645
4,5,42,onpolicy_self_replay,5e-05,200,1.0,0,1.0,0.5,0.9,0.7,0.6429,0.28,0.845,0.5625
4,5,42,onpolicy_self_replay,2.5e-05,200,1.0,0,1.0,0.3,1.0,0.65,0.4615,0.405,0.77,0.5875
4,5,42,onpolicy_self_replay,2.5e-05,200,0.5,0,1.0,1.0,0.2,0.6,0.3333,0.44,0.73,0.585
4,5,42,onpolicy_self_replay,2.5e-05,200,0.75,0,1.0,0.6,0.7,0.65,0.6462,0.42,0.755,0.5875
4,5,42,onpolicy_self_replay,5e-05,200,0.5,0,1.0,1.0,0.2,0.6,0.3333,0.305,0.81,0.5575
4,5,42,onpolicy_self_replay,5e-05,200,0.75,0,1.0,0.5,0.6,0.55,0.5455,0.28,0.83,0.555
4,5,42,onpolicy_self_replay,2.5e-05,200,1.0,20,1.0,0.5,0.9,0.7,0.6429,0.54,0.595,0.5675
4,5,42,onpolicy_self_replay,5e-05,200,1.0,20,1.0,0.6,1.0,0.8,0.75,0.41,0.77,0.59
4,5,42,onpolicy_self_replay,2.5e-05,200,0.75,20,1.0,0.8,0.6,0.7,0.6857,0.555,0.58,0.5675
4,5,42,onpolicy_self_replay,5e-05,200,0.75,20,1.0,0.5,0.6,0.55,0.5455,0.405,0.75,0.5775
3,1,42,onpolicy_self_replay,5e-05,200,1.0,0,1.0,0.3,1.0,0.65,0.4615,0.1,0.69,0.395
3,1,42,onpolicy_self_replay,2.5e-05,200,1.0,0,1.0,0.6,0.9,0.75,0.72,0.645,0.425,0.535
3,1,42,onpolicy_self_replay,2.5e-05,200,0.5,0,1.0,1.0,0.2,0.6,0.3333,0.665,0.39,0.5275
3,1,42,onpolicy_self_replay,2.5e-05,200,0.75,0,1.0,0.7,0.5,0.6,0.5833,0.65,0.405,0.5275
3,1,42,onpolicy_self_replay,5e-05,200,0.5,0,1.0,0.7,0.0,0.35,0.0,0.12,0.64,0.38
3,1,42,onpolicy_self_replay,5e-05,200,0.75,0,1.0,0.4,1.0,0.7,0.5714,0.105,0.69,0.3975
3,1,42,onpolicy_self_replay,2.5e-05,200,1.0,20,1.0,0.7,0.8,0.75,0.7467,0.72,0.28,0.5
3,1,42,onpolicy_self_replay,5e-05,200,1.0,20,1.0,0.1,0.9,0.5,0.18,0.32,0.495,0.4075
3,1,42,onpolicy_self_replay,2.5e-05,200,0.75,20,1.0,0.9,0.3,0.6,0.45,0.73,0.255,0.4925
3,1,42,onpolicy_self_replay,5e-05,200,0.75,20,1.0,0.6,0.6,0.6,0.6,0.345,0.48,0.4125
6,7,42,onpolicy_self_replay,5e-05,200,1.0,0,1.0,0.0,0.8,0.4,0.0,0.0,0.99,0.495
6,7,42,onpolicy_self_replay,2.5e-05,200,1.0,0,1.0,0.0,1.0,0.5,0.0,0.0,0.97,0.485
6,7,42,onpolicy_self_replay,2.5e-05,200,0.5,0,1.0,0.0,1.0,0.5,0.0,0.0,0.97,0.485
6,7,42,onpolicy_self_replay,2.5e-05,200,0.75,0,1.0,0.0,1.0,0.5,0.0,0.0,0.97,0.485
6,7,42,onpolicy_self_replay,5e-05,200,0.5,0,1.0,0.0,0.9,0.45,0.0,0.0,0.995,0.4975
6,7,42,onpolicy_self_replay,5e-05,200,0.75,0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5
6,7,42,onpolicy_self_replay,2.5e-05,200,1.0,20,1.0,0.0,1.0,0.5,0.0,0.035,0.91,0.4725
6,7,42,onpolicy_self_replay,2.5e-05,200,0.75,20,1.0,0.0,1.0,0.5,0.0,0.035,0.91,0.4725
6,7,42,onpolicy_self_replay,5e-05,200,1.0,20,1.0,0.0,1.0,0.5,0.0,0.045,0.89,0.4675
5,4,42,onpolicy_self_replay,5e-05,200,1.0,0,1.0,0.9,1.0,0.95,0.9474,0.665,0.93,0.7975
5,4,42,onpolicy_self_replay,2.5e-05,200,1.0,0,1.0,0.6,0.8,0.7,0.6857,0.56,0.875,0.7175
5,4,42,onpolicy_self_replay,2.5e-05,200,0.5,0,1.0,0.9,0.6,0.75,0.72,0.575,0.865,0.72
5,4,42,onpolicy_self_replay,2.5e-05,200,0.75,0,1.0,1.0,1.0,1.0,1.0,0.58,0.885,0.7325
5,4,42,onpolicy_self_replay,5e-05,200,0.5,0,1.0,0.9,0.5,0.7,0.6429,0.665,0.905,0.785
5,4,42,onpolicy_self_replay,5e-05,200,0.75,0,1.0,0.9,1.0,0.95,0.9474,0.665,0.93,0.7975
5,4,42,onpolicy_self_replay,5e-05,200,1.0,20,1.0,0.8,0.8,0.8,0.8,0.595,0.79,0.6925
5,4,42,onpolicy_self_replay,2.5e-05,200,1.0,20,1.0,0.7,0.9,0.8,0.7875,0.665,0.8,0.7325
5,4,42,onpolicy_self_replay,2.5e-05,200,0.75,20,1.0,0.9,0.8,0.85,0.8471,0.675,0.795,0.735
5,4,42,onpolicy_self_replay,5e-05,200,0.75,20,1.0,0.8,1.0,0.9,0.8889,0.595,0.8,0.6975
7,6,42,onpolicy_self_replay,5e-05,200,1.0,0,1.0,0.2,1.0,0.6,0.3333,0.24,0.8,0.52
7,6,42,onpolicy_self_replay,2.5e-05,200,1.0,0,1.0,0.3,0.6,0.45,0.4,0.255,0.77,0.5125
7,6,42,onpolicy_self_replay,2.5e-05,200,0.5,0,1.0,0.9,0.1,0.5,0.18,0.285,0.745,0.515
7,6,42,onpolicy_self_replay,2.5e-05,200,0.75,0,1.0,0.6,0.6,0.6,0.6,0.27,0.77,0.52
7,6,42,onpolicy_self_replay,5e-05,200,0.5,0,1.0,0.8,0.0,0.4,0.0,0.27,0.75,0.51
7,6,42,onpolicy_self_replay,5e-05,200,0.75,0,1.0,0.6,0.7,0.65,0.6462,0.26,0.785,0.5225
