train_step,loss
1,0.08866360038518906
2,0.06605583429336548
3,0.08891323953866959
4,0.07654956728219986
5,0.07560499012470245
6,0.09259198606014252
7,0.06355225294828415
8,0.06804601103067398
9,0.08721604198217392
10,0.06417327374219894
11,0.07301422208547592
12,0.05708375200629234
13,0.07048331946134567
14,0.04613712430000305
15,0.061239030212163925
16,0.0767788514494896
17,0.073630690574646
18,0.04892541095614433
19,0.043441276997327805
20,0.053316593170166016
21,0.04706943780183792
22,0.05574677139520645
23,0.03566271811723709
24,0.07546557486057281
25,0.04949028044939041
26,0.0538596510887146
27,0.0586225762963295
28,0.043436456471681595
29,0.04390648752450943
30,0.02785920538008213
31,0.03631236404180527
32,0.04561178386211395
33,0.039065439254045486
34,0.03374508023262024
35,0.0319870226085186
36,0.052740056067705154
37,0.02987159602344036
38,0.04122806712985039
39,0.03883269429206848
40,0.043207019567489624
41,0.041978854686021805
42,0.05450513958930969
43,0.050710905343294144
44,0.035789605230093
45,0.04250043258070946
46,0.051249515265226364
47,0.029035797342658043
48,0.031204957515001297
49,0.03256480023264885
50,0.03344505652785301
51,0.039702244102954865
52,0.032211337238550186
53,0.02934962883591652
54,0.05345785617828369
55,0.03177037090063095
56,0.036100950092077255
57,0.02690855972468853
58,0.0332045741379261
59,0.029531175270676613
60,0.036297757178545
61,0.0294991135597229
62,0.03010730817914009
63,0.028908545151352882
64,0.03404095396399498
65,0.03511054068803787
66,0.03037085011601448
67,0.033572759479284286
68,0.034685056656599045
69,0.034715503454208374
70,0.03354834020137787
71,0.029679525643587112
72,0.036771517246961594
73,0.029463035985827446
74,0.022098282352089882
75,0.027846235781908035
76,0.03071545623242855
77,0.024288229644298553
78,0.02556602470576763
79,0.0309221800416708
80,0.03427618741989136
81,0.034034281969070435
82,0.028268886730074883
83,0.03328372910618782
84,0.02451409213244915
85,0.03380800783634186
86,0.020147301256656647
87,0.028994737192988396
88,0.02800270915031433
89,0.03288106992840767
90,0.027834361419081688
91,0.032888855785131454
92,0.02557089738547802
93,0.03445068746805191
94,0.023250017315149307
95,0.033951517194509506
96,0.0318504199385643
97,0.035363852977752686
98,0.023517176508903503
99,0.02145526371896267
100,0.020773936063051224
101,0.023989466950297356
102,0.02582910656929016
103,0.03070671670138836
104,0.03014279715716839
105,0.024812832474708557
106,0.028780942782759666
107,0.0267343707382679
108,0.025560040026903152
109,0.031950172036886215
110,0.031488604843616486
111,0.03224687650799751
112,0.024476241320371628
113,0.02591835893690586
114,0.02688196860253811
115,0.026412466540932655
116,0.023416263982653618
117,0.025848550722002983
118,0.02272368036210537
119,0.019158292561769485
120,0.02293979562819004
121,0.035710614174604416
122,0.03259473666548729
123,0.024984849616885185
124,0.02481091581285
125,0.022257383912801743
126,0.028702646493911743
127,0.02606716752052307
128,0.027326887473464012
129,0.0317508839070797
130,0.022409481927752495
131,0.02790343575179577
132,0.016377151012420654
133,0.024690983816981316
134,0.024363869801163673
135,0.017933329567313194
136,0.034004729241132736
137,0.01917124353349209
138,0.026143228635191917
139,0.02598317340016365
140,0.019474945962429047
141,0.03528377041220665
142,0.023635290563106537
143,0.018398351967334747
144,0.02783939056098461
145,0.025753749534487724
146,0.026890462264418602
147,0.01954255811870098
148,0.021575162187218666
149,0.01552806980907917
150,0.017982114106416702
151,0.02516043186187744
152,0.020231550559401512
153,0.01986292004585266
154,0.028887365013360977
155,0.021819083020091057
156,0.023899411782622337
157,0.022477714344859123
158,0.01981731317937374
159,0.023650100454688072
160,0.021121658384799957
161,0.02503785490989685
162,0.024076754227280617
163,0.015598897822201252
164,0.0239690151065588
165,0.022952232509851456
166,0.020731274038553238
167,0.021056875586509705
168,0.026909811422228813
169,0.022494692355394363
170,0.021492889150977135
171,0.014573848806321621
172,0.020267371088266373
173,0.02216442860662937
174,0.028811965137720108
