eval_step,episode_idx,episode_step,alignment_ratio,success
20,0,10,0.030311454087495804,True
20,0,15,0.06857194751501083,True
20,0,20,0.07602731883525848,True
20,0,25,0.05189970135688782,True
20,0,30,0.07603882998228073,True
20,0,35,0.06620761752128601,True
20,0,40,0.1641160547733307,True
20,0,45,0.1615397036075592,True
20,0,50,0.06599829345941544,True
20,0,55,0.45891711115837097,True
20,0,60,0.08773519098758698,True
20,1,10,0.030176600441336632,False
20,1,15,0.05098045989871025,False
20,1,20,0.08380687981843948,False
20,1,25,0.05546001344919205,False
20,1,30,0.1135411337018013,False
20,1,35,0.1560986489057541,False
20,1,40,0.13567371666431427,False
20,1,45,0.273394912481308,False
20,1,50,0.39801231026649475,False
20,1,55,0.26744672656059265,False
20,1,60,0.18851305544376373,False
20,1,65,0.14784327149391174,False
20,1,70,0.10023403912782669,False
20,1,75,0.04685913026332855,False
20,1,80,0.034812603145837784,False
20,1,85,0.051475923508405685,False
20,1,90,0.021466955542564392,False
20,1,95,0.0790947824716568,False
20,1,100,0.03480270877480507,False
20,1,105,0.05526748672127724,False
20,1,110,0.04862220585346222,False
20,1,115,0.0424189530313015,False
20,1,120,0.07985459268093109,False
20,1,125,0.07531975209712982,False
20,1,130,0.021349215880036354,False
20,1,135,0.043450694531202316,False
20,1,140,0.07016091793775558,False
20,1,145,0.06284802407026291,False
20,1,150,0.034634627401828766,False
20,1,155,0.09010428190231323,False
20,1,160,0.07415226101875305,False
20,1,165,0.0692351758480072,False
20,1,170,0.042821794748306274,False
20,1,175,0.08899743109941483,False
20,1,180,0.025049109011888504,False
20,1,185,0.02142561785876751,False
20,1,190,0.04239106550812721,False
20,1,195,0.05557138845324516,False
20,1,200,0.0863194391131401,False
20,1,205,0.04266274720430374,False
20,1,210,0.07204077392816544,False
20,1,215,0.08787950873374939,False
20,1,220,0.12341576814651489,False
20,1,225,0.12597884237766266,False
20,1,230,0.09003480523824692,False
20,1,235,0.07658343762159348,False
20,1,240,0.136074960231781,False
20,1,245,0.0638231635093689,False
20,1,250,0.0560968853533268,False
20,1,255,0.04446117579936981,False
20,1,260,0.0339653342962265,False
20,1,265,0.04272712394595146,False
20,1,270,0.024924470111727715,False
20,1,275,0.0912821814417839,False
20,1,280,0.09380558878183365,False
20,1,285,0.07429046928882599,False
20,1,290,0.04300397261977196,False
20,1,295,0.06551408022642136,False
20,1,300,0.041788626462221146,False
20,1,305,0.06852362304925919,False
20,1,310,0.06942014396190643,False
20,1,315,0.09497872740030289,False
20,1,320,0.14838647842407227,False
20,1,325,0.030888134613633156,False
20,1,330,0.07556573301553726,False
20,1,335,0.04199153929948807,False
20,1,340,0.025365756824612617,False
20,1,345,0.03104444220662117,False
20,1,350,0.027043435722589493,False
20,1,355,0.015377271920442581,False
20,1,360,0.017425809055566788,False
20,1,365,0.011795646511018276,False
20,1,370,0.04602499306201935,False
20,1,375,0.05770287662744522,False
20,1,380,0.015982775017619133,False
20,1,385,0.05457925423979759,False
20,1,390,0.038230299949645996,False
20,1,395,0.03444349020719528,False
20,1,400,0.028101284056901932,False
20,1,405,0.03986997529864311,False
20,2,10,0.04410286247730255,True
20,2,15,0.07681794464588165,True
20,2,20,0.1243068054318428,True
20,2,25,0.06620995700359344,True
20,2,30,0.06506423652172089,True
20,2,35,0.08533104509115219,True
20,2,40,0.15197619795799255,True
20,2,45,0.15386967360973358,True
20,2,50,0.07441511750221252,True
20,2,55,0.2987091541290283,True
20,2,60,0.8040393590927124,True
20,2,65,0.0756625384092331,True
20,3,10,0.031158657744526863,True
20,3,15,0.09932152926921844,True
20,3,20,0.1461026817560196,True
20,3,25,0.08582808822393417,True
20,3,30,0.049091849476099014,True
20,3,35,0.08218368887901306,True
20,3,40,0.1921069473028183,True
20,3,45,0.09078432619571686,True
20,3,50,0.057229846715927124,True
20,3,55,1.181958794593811,True
20,3,60,0.8759436011314392,True
20,3,65,0.06776764988899231,True
20,4,10,0.02617589198052883,True
20,4,15,0.030678221955895424,True
20,4,20,0.06374767422676086,True
20,4,25,0.02556593343615532,True
20,4,30,0.07276744395494461,True
20,4,35,0.0736766904592514,True
20,4,40,0.22823309898376465,True
20,4,45,0.16218994557857513,True
20,4,50,0.15860909223556519,True
20,4,55,0.2712927460670471,True
20,4,60,0.14646044373512268,True
20,4,65,0.1521296352148056,True
20,5,10,0.03460216522216797,True
20,5,15,0.03606889769434929,True
20,5,20,0.06788133084774017,True
20,5,25,0.04135878384113312,True
20,5,30,0.07139044255018234,True
20,5,35,0.11503265798091888,True
20,5,40,0.16399501264095306,True
20,5,45,0.16972801089286804,True
20,5,50,0.42816948890686035,True
20,5,55,0.2600885033607483,True
20,5,60,0.29348117113113403,True
20,5,65,0.20738056302070618,True
20,6,10,0.027185896411538124,True
20,6,15,0.0962848886847496,True
20,6,20,0.12553875148296356,True
