train_step,loss
1,0.0825800895690918
2,0.04958302527666092
3,0.020801210775971413
4,0.027707505971193314
5,0.03139139711856842
6,0.013597989454865456
7,0.011770697310566902
8,0.009876704774796963
9,0.00982692651450634
10,0.006688533816486597
11,0.01340041495859623
12,0.004118237178772688
13,0.00821457989513874
14,0.01108745951205492
15,0.005569122266024351
16,0.03248186036944389
17,0.007321172393858433
18,0.008754163980484009
19,0.004721264820545912
20,0.003072293009608984
21,0.011630597524344921
22,0.006242529489099979
23,0.0194548312574625
24,0.018540354445576668
25,0.022268399596214294
26,0.03413068875670433
27,0.013225439004600048
28,0.009478054009377956
29,0.020960861817002296
30,0.007296659983694553
31,0.010993276722729206
32,0.01859465427696705
33,0.004111465997993946
34,0.005609541665762663
35,0.008036716841161251
36,0.00841040164232254
37,0.00594804622232914
38,0.006526188459247351
39,0.0033507240004837513
40,0.005363837815821171
41,0.002754633314907551
42,0.016148459166288376
43,0.004225058015435934
44,0.002932218601927161
45,0.0022908297833055258
46,0.011153840459883213
47,0.004499576985836029
48,0.002947043627500534
49,0.003059223061427474
50,0.014681671746075153
51,0.002517532557249069
52,0.018893087282776833
53,0.002604379551485181
54,0.004340651445090771
55,0.002293497556820512
56,0.006330338306725025
57,0.010707349516451359
58,0.0012735578930005431
59,0.005151495803147554
60,0.025070643052458763
61,0.003147945972159505
62,0.001673229387961328
63,0.012958148494362831
64,0.0022936479654163122
65,0.00728694349527359
66,0.002220767317339778
67,0.015129446983337402
68,0.002338500926271081
69,0.002963464008644223
70,0.007251165807247162
71,0.006410674657672644
72,0.004924355540424585
73,0.0034910887479782104
74,0.007072899024933577
75,0.001958373934030533
76,0.003082169685512781
77,0.003953734878450632
78,0.008608981966972351
79,0.0021599126048386097
80,0.0060388087294995785
81,0.006360646337270737
82,0.004045554902404547
83,0.0018104392802342772
84,0.0015381000703200698
85,0.006750321481376886
86,0.005023028235882521
87,0.0030626878142356873
88,0.0018277399940416217
89,0.004304930567741394
90,0.004192321095615625
91,0.001560130389407277
92,0.0015366601292043924
93,0.005277670919895172
94,0.00646438542753458
95,0.0017948549939319491
96,0.0021690845023840666
97,0.0023000214714556932
98,0.001206382759846747
99,0.0014687544899061322
100,0.002522555412724614
