eval_step,episode_idx,episode_step,alignment_ratio,success
100,0,10,0.1250072717666626,True
100,0,15,0.19333381950855255,True
100,0,20,0.24348868429660797,True
100,0,25,0.22748872637748718,True
100,0,30,0.24004025757312775,True
100,0,35,0.33113962411880493,True
100,0,40,0.2594890594482422,True
100,0,45,0.43791839480400085,True
100,0,50,0.5930201411247253,True
100,0,55,0.7488437294960022,True
100,0,60,0.9460316300392151,True
100,0,65,1.0441203117370605,True
100,0,70,1.0453925132751465,True
100,0,75,0.4408823251724243,True
100,1,10,0.13444583117961884,True
100,1,15,0.16912941634655,True
100,1,20,0.318179190158844,True
100,1,25,0.2789973020553589,True
100,1,30,0.22933009266853333,True
100,1,35,0.2385105937719345,True
100,1,40,0.6506678462028503,True
100,1,45,0.6015612483024597,True
100,1,50,0.8258512616157532,True
100,1,55,0.9373753070831299,True
100,1,60,1.0840024948120117,True
100,1,65,1.072980523109436,True
100,2,10,0.14569436013698578,True
100,2,15,0.1293298900127411,True
100,2,20,0.35323697328567505,True
100,2,25,0.25198811292648315,True
100,2,30,0.15060004591941833,True
100,2,35,0.24916595220565796,True
100,2,40,0.29005950689315796,True
100,2,45,0.44529059529304504,True
100,2,50,0.6771333813667297,True
100,2,55,0.7685588002204895,True
100,2,60,0.8291538953781128,True
100,2,65,0.873966634273529,True
100,2,70,0.7640232443809509,True
100,3,10,0.12382018566131592,True
100,3,15,0.2426573634147644,True
100,3,20,0.3240021765232086,True
100,3,25,0.2540249228477478,True
100,3,30,0.21245479583740234,True
100,3,35,0.1919751763343811,True
100,3,40,0.21894805133342743,True
100,3,45,0.41340747475624084,True
100,3,50,0.6841585040092468,True
100,3,55,0.6799862384796143,True
100,3,60,0.7487993836402893,True
100,3,65,0.7376497983932495,True
100,3,70,0.6615325212478638,True
100,3,75,0.6630117297172546,True
100,4,10,0.1247132197022438,True
100,4,15,0.2094680815935135,True
100,4,20,0.34616371989250183,True
100,4,25,0.23209673166275024,True
100,4,30,0.21855580806732178,True
100,4,35,0.2364312708377838,True
100,4,40,0.34281042218208313,True
100,4,45,0.489844411611557,True
100,4,50,0.7727015018463135,True
100,4,55,0.8085131645202637,True
100,4,60,0.9941317439079285,True
100,4,65,1.0238316059112549,True
100,4,70,0.8685304522514343,True
100,4,75,0.5358894467353821,True
100,5,10,0.13222026824951172,True
100,5,15,0.1652604043483734,True
100,5,20,0.32336047291755676,True
100,5,25,0.2294503003358841,True
100,5,30,0.1929158717393875,True
100,5,35,0.2271789014339447,True
100,5,40,0.42231225967407227,True
100,5,45,0.6493080258369446,True
100,5,50,0.7844142913818359,True
100,5,55,0.7375684976577759,True
100,5,60,0.8173772096633911,True
100,5,65,0.9042739272117615,True
100,5,70,0.8343505263328552,True
100,6,10,0.2202465981245041,True
100,6,15,0.2754237949848175,True
100,6,20,0.4011463224887848,True
100,6,25,0.1819571852684021,True
100,6,30,0.13531608879566193,True
100,6,35,0.2144068479537964,True
100,6,40,0.346509724855423,True
100,6,45,0.5197874307632446,True
100,6,50,0.7582693696022034,True
100,6,55,0.6442865133285522,True
100,6,60,0.6591969728469849,True
100,6,65,0.6728033423423767,True
100,6,70,0.5870375633239746,True
100,7,10,0.13136076927185059,True
100,7,15,0.16365687549114227,True
100,7,20,0.37289679050445557,True
100,7,25,0.2599189579486847,True
100,7,30,0.178818017244339,True
100,7,35,0.34850186109542847,True
100,7,40,0.41364672780036926,True
100,7,45,0.4983958601951599,True
100,7,50,0.6960663199424744,True
100,7,55,0.6469648480415344,True
100,7,60,0.7091749906539917,True
100,7,65,0.8692981004714966,True
100,7,70,0.7929529547691345,True
100,8,10,0.23436087369918823,True
100,8,15,0.12596207857131958,True
100,8,20,0.30030661821365356,True
100,8,25,0.15503805875778198,True
100,8,30,0.2571277320384979,True
100,8,35,0.5052884221076965,True
100,8,40,1.0989357233047485,True
100,8,45,0.8102613091468811,True
100,8,50,1.2820262908935547,True
100,8,55,1.4124778509140015,True
100,8,60,0.4921201169490814,True
100,8,65,0.575537383556366,True
100,8,70,0.6084193587303162,True
100,8,75,0.48896241188049316,True
100,9,10,0.1076924055814743,True
100,9,15,0.225818932056427,True
100,9,20,0.2737303674221039,True
100,9,25,0.24808369576931,True
100,9,30,0.1907271295785904,True
100,9,35,0.2893095910549164,True
100,9,40,0.285660058259964,True
100,9,45,0.43711721897125244,True
100,9,50,0.6263103485107422,True
100,9,55,0.6564914584159851,True
100,9,60,0.8339714407920837,True
100,9,65,1.011827826499939,True
100,9,70,0.8244779109954834,True
100,10,10,0.24647825956344604,True
100,10,15,0.3128966987133026,True
100,10,20,0.4338982403278351,True
100,10,25,0.2480461448431015,True
100,10,30,0.20002184808254242,True
100,10,35,0.23085498809814453,True
100,10,40,0.36056119203567505,True
100,10,45,0.6415337324142456,True
100,10,50,0.4788527488708496,True
100,10,55,0.6637541055679321,True
100,10,60,0.7295624017715454,True
100,10,65,0.6304992437362671,True
100,10,70,0.5771334171295166,True
100,10,75,0.6463647484779358,True
100,10,80,0.4154902398586273,True
100,10,85,0.40500712394714355,True
100,10,90,0.4944131076335907,True
100,10,95,0.5715814828872681,True
100,10,100,0.31450435519218445,True
100,10,105,0.7130309343338013,True
100,11,10,0.14095433056354523,True
100,11,15,0.23314300179481506,True
100,11,20,0.33339178562164307,True
100,11,25,0.2505534887313843,True
100,11,30,0.1296556442975998,True
100,11,35,0.20283712446689606,True
100,11,40,0.5760378241539001,True
100,11,45,0.8214130997657776,True
100,11,50,0.7886861562728882,True
100,11,55,0.6457564234733582,True
100,11,60,0.7161116600036621,True
100,11,65,0.9016140103340149,True
100,11,70,0.8922703266143799,True
100,12,10,0.24076008796691895,True
100,12,15,0.23897746205329895,True
100,12,20,0.36824777722358704,True
100,12,25,0.1171031966805458,True
100,12,30,0.08323840796947479,True
100,12,35,0.2178274542093277,True
100,12,40,0.750782310962677,True
100,12,45,0.809862494468689,True
100,12,50,0.8240497708320618,True
100,12,55,0.5966935753822327,True
100,12,60,0.7106019258499146,True
100,12,65,0.7881262302398682,True
100,13,10,0.12957580387592316,True
100,13,15,0.17317764461040497,True
100,13,20,0.33998483419418335,True
100,13,25,0.21898138523101807,True
100,13,30,0.2271394580602646,True
100,13,35,0.23372411727905273,True
100,13,40,0.31642183661460876,True
100,13,45,0.36980998516082764,True
100,13,50,0.6596934199333191,True
100,13,55,0.6657490730285645,True
100,13,60,0.7567231059074402,True
100,13,65,0.7861034274101257,True
100,13,70,0.6977159976959229,True
100,13,75,0.5453377962112427,True
100,14,10,0.07579266279935837,False
100,14,15,0.1860436350107193,False
