eval_step,episode_idx,episode_step,alignment_ratio,success
100,0,10,0.05145575851202011,True
100,0,15,0.0610010102391243,True
100,0,20,0.09127790480852127,True
100,0,25,0.1657203882932663,True
100,0,30,0.19809505343437195,True
100,0,35,0.14903874695301056,True
100,0,40,0.23905828595161438,True
100,0,45,0.1152656152844429,True
100,0,50,0.053786762058734894,True
100,0,55,0.08613669872283936,True
100,0,60,0.03878474980592728,True
100,0,65,0.04320613294839859,True
100,0,70,0.07621154934167862,True
100,0,75,0.06389742344617844,True
100,1,10,0.053317226469516754,True
100,1,15,0.07441430538892746,True
100,1,20,0.22618429362773895,True
100,1,25,0.23475608229637146,True
100,1,30,0.14676065742969513,True
100,1,35,0.19756340980529785,True
100,1,40,0.18111827969551086,True
100,1,45,0.10381613671779633,True
100,1,50,0.1857302486896515,True
100,1,55,0.06259606778621674,True
100,1,60,0.025124182924628258,True
100,1,65,0.05666802451014519,True
100,1,70,0.14307890832424164,True
100,1,75,0.123162180185318,True
100,2,10,0.044693831354379654,True
100,2,15,0.06365390866994858,True
100,2,20,0.19360758364200592,True
100,2,25,0.19641660153865814,True
100,2,30,0.14744184911251068,True
100,2,35,0.156804621219635,True
100,2,40,0.23960824310779572,True
100,2,45,0.09914606064558029,True
100,2,50,0.05873873457312584,True
100,2,55,0.06893527507781982,True
100,2,60,0.033345215022563934,True
100,2,65,0.052548233419656754,True
100,2,70,0.08477715402841568,True
100,2,75,0.1188139095902443,True
100,3,10,0.05199176445603371,True
100,3,15,0.05267973989248276,True
100,3,20,0.0837809219956398,True
100,3,25,0.17270533740520477,True
100,3,30,0.19962827861309052,True
100,3,35,0.1569005697965622,True
100,3,40,0.22343364357948303,True
100,3,45,0.11376945674419403,True
100,3,50,0.06939022988080978,True
100,3,55,0.07276792824268341,True
100,3,60,0.04307268187403679,True
100,3,65,0.050746094435453415,True
100,3,70,0.07347580045461655,True
100,3,75,0.07062783092260361,True
100,4,10,0.058938007801771164,True
100,4,15,0.07170919328927994,True
100,4,20,0.21836748719215393,True
100,4,25,0.24809595942497253,True
100,4,30,0.1456301212310791,True
100,4,35,0.23876872658729553,True
100,4,40,0.26643529534339905,True
100,4,45,0.098355732858181,True
100,4,50,0.10582378506660461,True
100,4,55,0.06904246658086777,True
100,4,60,0.02711447887122631,True
100,4,65,0.04647538810968399,True
100,4,70,0.10015524923801422,True
100,4,75,0.08150506764650345,True
100,5,10,0.061957262456417084,True
100,5,15,0.06584159284830093,True
100,5,20,0.21288380026817322,True
100,5,25,0.20184119045734406,True
100,5,30,0.147505521774292,True
100,5,35,0.1914038509130478,True
100,5,40,0.22416725754737854,True
100,5,45,0.09999895840883255,True
100,5,50,0.049518950283527374,True
100,5,55,0.0693582072854042,True
100,5,60,0.037505291402339935,True
100,5,65,0.04136550426483154,True
100,5,70,0.06306318938732147,True
100,5,75,0.09168458729982376,True
100,6,10,0.047751642763614655,True
100,6,15,0.047103721648454666,True
100,6,20,0.15263639390468597,True
100,6,25,0.1876358836889267,True
100,6,30,0.22208361327648163,True
100,6,35,0.20329806208610535,True
100,6,40,0.22718730568885803,True
100,6,45,0.12325926125049591,True
100,6,50,0.061902713030576706,True
100,6,55,0.09399397671222687,True
100,6,60,0.03721889480948448,True
100,6,65,0.04926571995019913,True
100,6,70,0.09230522066354752,True
100,6,75,0.10802412778139114,True
100,7,10,0.04917347803711891,True
100,7,15,0.0607532374560833,True
100,7,20,0.2181195616722107,True
100,7,25,0.20799247920513153,True
100,7,30,0.1536242663860321,True
100,7,35,0.19421184062957764,True
100,7,40,0.24515400826931,True
100,7,45,0.10744430124759674,True
100,7,50,0.05734802037477493,True
100,7,55,0.0947946235537529,True
100,7,60,0.03786046802997589,True
100,7,65,0.040172409266233444,True
100,7,70,0.07411031424999237,True
100,7,75,0.09471212327480316,True
100,8,10,0.06910229474306107,True
100,8,15,0.07766539603471756,True
100,8,20,0.24273838102817535,True
100,8,25,0.16299045085906982,True
100,8,30,0.15599489212036133,True
100,8,35,0.15115134418010712,True
100,8,40,0.134822815656662,True
100,8,45,0.06496536731719971,True
100,8,50,0.03793056681752205,True
100,8,55,0.10324246436357498,True
100,8,60,0.13995738327503204,True
100,8,65,0.17433319985866547,True
100,8,70,0.17110797762870789,True
100,9,10,0.05225743353366852,True
100,9,15,0.05454877018928528,True
100,9,20,0.16226878762245178,True
100,9,25,0.19140580296516418,True
100,9,30,0.17666268348693848,True
100,9,35,0.17367033660411835,True
100,9,40,0.21818484365940094,True
100,9,45,0.10145767778158188,True
100,9,50,0.07129578292369843,True
100,9,55,0.07916772365570068,True
100,9,60,0.02623583935201168,True
100,9,65,0.03595761954784393,True
100,9,70,0.07154155522584915,True
100,9,75,0.08134902268648148,True
100,10,10,0.06626808643341064,True
100,10,15,0.07111838459968567,True
100,10,20,0.15767385065555573,True
100,10,25,0.1636325567960739,True
100,10,30,0.12182225286960602,True
100,10,35,0.15823446214199066,True
100,10,40,0.2081068605184555,True
100,10,45,0.1020049899816513,True
100,10,50,0.08898964524269104,True
100,10,55,0.08338765054941177,True
100,10,60,0.04055986553430557,True
100,10,65,0.05650606006383896,True
100,10,70,0.07689381390810013,True
100,10,75,0.08475538343191147,True
100,11,10,0.059808433055877686,True
100,11,15,0.06272425502538681,True
100,11,20,0.0894598439335823,True
100,11,25,0.15256525576114655,True
100,11,30,0.15409933030605316,True
100,11,35,0.13724760711193085,True
100,11,40,0.22848747670650482,True
100,11,45,0.1236455962061882,True
100,11,50,0.07316426187753677,True
100,11,55,0.09324135631322861,True
100,11,60,0.05537566542625427,True
100,11,65,0.10388309508562088,True
100,11,70,0.08540838956832886,True
100,11,75,0.10049384087324142,True
100,12,10,0.054227542132139206,True
100,12,15,0.06095195189118385,True
100,12,20,0.21748802065849304,True
100,12,25,0.21518760919570923,True
100,12,30,0.14831919968128204,True
100,12,35,0.2211223542690277,True
100,12,40,0.1848422884941101,True
100,12,45,0.09885317087173462,True
100,12,50,0.17651784420013428,True
100,12,55,0.1045994907617569,True
100,12,60,0.03590072691440582,True
100,12,65,0.12871071696281433,True
100,12,70,0.14462172985076904,True
100,13,10,0.04565967246890068,True
100,13,15,0.05986429378390312,True
100,13,20,0.20853102207183838,True
100,13,25,0.2242719829082489,True
100,13,30,0.13724996149539948,True
100,13,35,0.20374269783496857,True
100,13,40,0.3920917510986328,True
100,13,45,0.3631698191165924,True
100,13,50,0.24751070141792297,True
100,13,55,0.10805346071720123,True
100,13,60,0.027079619467258453,True
100,13,65,0.07976848632097244,True
100,13,70,0.1018296554684639,True
100,13,75,0.11342492699623108,True
100,14,10,0.046883244067430496,True
100,14,15,0.04066799581050873,True
100,14,20,0.06645452976226807,True
100,14,25,0.14953173696994781,True
100,14,30,0.25518491864204407,True
100,14,35,0.20843568444252014,True
100,14,40,0.14205603301525116,True
100,14,45,0.17520247399806976,True
100,14,50,0.09974939376115799,True
100,14,55,0.0980173721909523,True
100,14,60,0.05177867412567139,True
100,14,65,0.043396349996328354,True
100,14,70,0.0859256386756897,True
100,14,75,0.13004839420318604,True
100,15,10,0.05944540351629257,True
100,15,15,0.09218014031648636,True
100,15,20,0.28775328397750854,True
100,15,25,0.3134732246398926,True
100,15,30,0.259255975484848,True
100,15,35,0.34393763542175293,True
100,15,40,0.3995186686515808,True
100,15,45,0.10391203314065933,True
100,15,50,0.06119568645954132,True
100,15,55,0.08908873796463013,True
100,15,60,0.06188175454735756,True
100,15,65,0.10745258629322052,True
100,15,70,0.13961726427078247,True
100,15,75,0.16563785076141357,True
100,16,10,0.06035061553120613,True
100,16,15,0.06850649416446686,True
100,16,20,0.22210602462291718,True
100,16,25,0.2446995973587036,True
100,16,30,0.20009012520313263,True
100,16,35,0.27279624342918396,True
100,16,40,0.2609233260154724,True
100,16,45,0.104921355843544,True
100,16,50,0.47340869903564453,True
100,16,55,0.08275214582681656,True
100,16,60,0.034608542919158936,True
100,16,65,0.03938988968729973,True
100,16,70,0.07655861973762512,True
100,16,75,0.07448454946279526,True
