metric,value
task_id,6
seed,42
rollout_episodes_per_iter,10
teacher_steps,100
teacher_lr,0.0001
teacher_eval_num_episodes,10
teacher_eval_success_rate,1.0
teacher_final_loss,0.019389480352401733
bc_steps_per_iter,100
bc_lr,5e-05
max_iters,5
cumulative_buffer,False
alignment_ratio_threshold,
n_iters_ran,5
final_success,False
stopped_reason,max_iters
final_bc_buffer_size,800
distill_iter0_success_rate,0.0
distill_iter1_success_rate,0.0
distill_iter2_success_rate,0.0
distill_iter3_success_rate,0.0
distill_iter4_success_rate,0.0
