train_step,loss
1,0.0825800895690918
2,0.09383538365364075
3,0.0704510360956192
4,0.06854260712862015
5,0.08389266580343246
6,0.07871492207050323
7,0.0737164244055748
8,0.06857693195343018
9,0.06343485414981842
10,0.04739336669445038
11,0.06134314090013504
12,0.050878655165433884
13,0.051988065242767334
14,0.0539482943713665
15,0.045390184968709946
16,0.05223531648516655
17,0.05050857737660408
18,0.04009741544723511
19,0.0446617566049099
20,0.027332359924912453
21,0.04270816221833229
22,0.033177342265844345
23,0.03766581788659096
24,0.027454454451799393
25,0.0410507433116436
26,0.034447409212589264
27,0.03745546191930771
28,0.04863157495856285
29,0.03907677158713341
30,0.02447655238211155
31,0.03918180242180824
32,0.0340193510055542
33,0.027880776673555374
34,0.0252207163721323
35,0.03686775639653206
36,0.021651530638337135
37,0.03193393722176552
38,0.028886018320918083
39,0.022089822217822075
40,0.029789764434099197
41,0.02350047416985035
42,0.02278916910290718
43,0.022407500073313713
44,0.01652355305850506
45,0.020566899329423904
46,0.026841670274734497
47,0.019380543380975723
48,0.018542611971497536
49,0.022872110828757286
50,0.03052414022386074
51,0.020249327644705772
52,0.01926213502883911
53,0.013614225201308727
54,0.019460706040263176
55,0.019440757110714912
56,0.01474235113710165
57,0.028510380536317825
58,0.013517557643353939
59,0.019290288910269737
60,0.02190881036221981
61,0.017518941313028336
62,0.012918337248265743
63,0.024333875626325607
64,0.014998212456703186
65,0.016912227496504784
66,0.011474794708192348
67,0.015989018604159355
68,0.01266111433506012
69,0.01978900469839573
70,0.014063067734241486
71,0.014551750384271145
72,0.012242770753800869
73,0.014776527881622314
74,0.019521957263350487
75,0.0117862019687891
76,0.012895035557448864
77,0.014058522880077362
78,0.014272661879658699
79,0.012562175281345844
80,0.012193704955279827
81,0.019653597846627235
82,0.010508287698030472
83,0.008469770662486553
84,0.0095447963103652
85,0.013439039699733257
86,0.011566555127501488
87,0.01080139260739088
88,0.008317016065120697
89,0.010133451782166958
90,0.012086357921361923
91,0.009258648380637169
92,0.01041137333959341
93,0.01131738256663084
94,0.009503231383860111
95,0.007958827540278435
96,0.01120424922555685
97,0.012698023580014706
98,0.009278482757508755
99,0.00780978798866272
100,0.01115183811634779
