eval_step,episode_idx,episode_step,alignment_ratio,success
20,0,10,0.10318654775619507,True
20,0,15,0.08824850618839264,True
20,0,20,0.21782319247722626,True
20,0,25,0.26755276322364807,True
20,0,30,0.18118230998516083,True
20,0,35,0.4665842354297638,True
20,0,40,0.6756657361984253,True
20,0,45,0.3933097720146179,True
20,0,50,0.8805031776428223,True
20,0,55,0.8161094188690186,True
20,0,60,0.36774545907974243,True
20,1,10,0.0851394310593605,True
20,1,15,0.11434537172317505,True
20,1,20,0.15519866347312927,True
20,1,25,0.1486411690711975,True
20,1,30,0.20660147070884705,True
20,1,35,0.3465860188007355,True
20,1,40,0.5925094485282898,True
20,1,45,0.0689702257514,True
20,1,50,0.05193493515253067,True
20,1,55,0.35075366497039795,True
20,1,60,0.08527866005897522,True
20,2,10,0.06384832412004471,True
20,2,15,0.06747396290302277,True
20,2,20,0.16699828207492828,True
20,2,25,0.17119182646274567,True
20,2,30,0.12116240710020065,True
20,2,35,0.23845025897026062,True
20,2,40,0.4606531858444214,True
20,2,45,0.5777267217636108,True
20,2,50,0.0371951125562191,True
20,2,55,0.04191337898373604,True
20,2,60,0.2535907030105591,True
20,2,65,0.4595533013343811,True
20,3,10,0.058730706572532654,True
20,3,15,0.06781197339296341,True
20,3,20,0.21730150282382965,True
20,3,25,0.268292099237442,True
20,3,30,0.3048972487449646,True
20,3,35,0.38854631781578064,True
20,3,40,0.6153774261474609,True
20,3,45,0.6861357092857361,True
20,3,50,0.6853531002998352,True
20,3,55,0.7922256588935852,True
20,3,60,0.22341673076152802,True
20,4,10,0.08098410069942474,True
20,4,15,0.12488461285829544,True
20,4,20,0.15360626578330994,True
20,4,25,0.13984358310699463,True
20,4,30,0.15370208024978638,True
20,4,35,0.5111357569694519,True
20,4,40,0.35782498121261597,True
20,4,45,0.09130886197090149,True
20,4,50,0.0458647757768631,True
20,4,55,0.13048595190048218,True
20,4,60,0.1159663051366806,True
20,5,10,0.08161196857690811,True
20,5,15,0.11244040727615356,True
20,5,20,0.19603751599788666,True
20,5,25,0.15855422616004944,True
20,5,30,0.19875910878181458,True
20,5,35,0.363206684589386,True
20,5,40,0.5485814809799194,True
20,5,45,0.6672449707984924,True
20,5,50,0.4558069407939911,True
20,5,55,0.534106433391571,True
20,5,60,0.09473934769630432,True
20,5,65,0.15648876130580902,True
20,6,10,0.05569643899798393,True
20,6,15,0.07984496653079987,True
20,6,20,0.1638903170824051,True
20,6,25,0.17361532151699066,True
20,6,30,0.151101216673851,True
20,6,35,0.4161825478076935,True
20,6,40,0.42818018794059753,True
20,6,45,0.35963425040245056,True
20,6,50,0.6903089880943298,True
20,6,55,0.6667138934135437,True
20,6,60,0.46868041157722473,True
20,7,10,0.08090552687644958,True
20,7,15,0.08716803044080734,True
20,7,20,0.1664445847272873,True
20,7,25,0.14062421023845673,True
20,7,30,0.14493583142757416,True
20,7,35,0.31962713599205017,True
20,7,40,0.5045401453971863,True
20,7,45,0.5541354417800903,True
20,7,50,0.37595054507255554,True
20,7,55,0.0790332704782486,True
20,7,60,0.0559564009308815,True
20,7,65,0.058184608817100525,True
20,8,10,0.10255811363458633,True
20,8,15,0.15761928260326385,True
20,8,20,0.16545931994915009,True
20,8,25,0.18953640758991241,True
20,8,30,0.365620493888855,True
20,8,35,0.5423687696456909,True
20,8,40,0.07234294712543488,True
20,8,45,0.039897527545690536,True
20,8,50,0.5396744608879089,True
20,8,55,0.06909271329641342,True
20,9,10,0.09105609357357025,True
20,9,15,0.08901462703943253,True
20,9,20,0.1728544533252716,True
20,9,25,0.175958514213562,True
20,9,30,0.11675303429365158,True
20,9,35,0.40011316537857056,True
20,9,40,0.6371711492538452,True
20,9,45,0.06385218352079391,True
20,9,50,0.03838780149817467,True
20,9,55,0.11011314392089844,True
20,9,60,0.10062943398952484,True
20,10,10,0.1033342257142067,False
20,10,15,0.1251235455274582,False
20,10,20,0.15317802131175995,False
20,10,25,0.26014021039009094,False
20,10,30,0.2654404640197754,False
20,10,35,0.46742698550224304,False
20,10,40,0.5985697507858276,False
20,10,45,0.5567404627799988,False
20,10,50,0.15504175424575806,False
20,10,55,0.19253696501255035,False
20,10,60,0.054188746958971024,False
20,10,65,0.0710742175579071,False
20,10,70,0.08350445330142975,False
20,10,75,0.05342816561460495,False
20,10,80,0.0767526850104332,False
20,10,85,0.08392003178596497,False
20,10,90,0.11486746370792389,False
20,10,95,0.3417494595050812,False
20,10,100,0.23664751648902893,False
20,10,105,0.3491383492946625,False
20,10,110,0.4626688063144684,False
20,10,115,0.44334572553634644,False
20,10,120,0.40645158290863037,False
20,10,125,0.35467368364334106,False
20,10,130,0.3955645263195038,False
20,10,135,0.4359089434146881,False
20,10,140,0.3444479703903198,False
20,10,145,0.302655428647995,False
20,10,150,0.3474123775959015,False
20,10,155,0.2470567226409912,False
20,10,160,0.4558981657028198,False
20,10,165,0.2478485405445099,False
20,10,170,0.36599546670913696,False
20,10,175,0.2667904198169708,False
20,10,180,0.30881327390670776,False
20,10,185,0.4207856059074402,False
20,10,190,0.2725820541381836,False
20,10,195,0.3861350119113922,False
20,10,200,0.34631824493408203,False
20,10,205,0.2914205491542816,False
20,10,210,0.33133456110954285,False
20,10,215,0.2926713526248932,False
20,10,220,0.2649259567260742,False
20,10,225,0.21962842345237732,False
20,10,230,0.19558265805244446,False
20,10,235,0.2934629023075104,False
20,10,240,0.22342610359191895,False
20,10,245,0.1701315939426422,False
20,10,250,0.2119807004928589,False
20,10,255,0.3579871356487274,False
20,10,260,0.32174453139305115,False
20,10,265,0.24875235557556152,False
20,10,270,0.16048087179660797,False
20,10,275,0.17606373131275177,False
20,10,280,0.3138684630393982,False
20,10,285,0.2630045711994171,False
20,10,290,0.3516111373901367,False
20,10,295,0.36152178049087524,False
20,10,300,0.2690466642379761,False
20,10,305,0.2661281228065491,False
20,10,310,0.22699987888336182,False
20,10,315,0.24260741472244263,False
20,10,320,0.322113573551178,False
20,10,325,0.30849575996398926,False
20,10,330,0.3405872583389282,False
20,10,335,0.36346641182899475,False
