train_step,loss
1,0.0825800895690918
2,0.08897652477025986
3,0.06053450331091881
4,0.05886128172278404
5,0.07504124194383621
6,0.05668092891573906
7,0.053048182278871536
8,0.04785047098994255
9,0.05116009712219238
10,0.031066888943314552
11,0.04367774352431297
12,0.03600267693400383
13,0.032805800437927246
14,0.041205454617738724
15,0.02454918995499611
16,0.039919208735227585
17,0.031970854848623276
18,0.02583904378116131
19,0.02758817747235298
20,0.015795474871993065
1,0.0825800895690918
2,0.08897652477025986
3,0.06053450331091881
4,0.05886128172278404
5,0.07504124194383621
6,0.05668092891573906
7,0.053048182278871536
8,0.04785047098994255
9,0.05116009712219238
10,0.031066888943314552
11,0.04367774352431297
12,0.03600267693400383
13,0.032805800437927246
14,0.041205454617738724
15,0.02454918995499611
16,0.039919208735227585
17,0.031970854848623276
18,0.02583904378116131
19,0.02758817747235298
20,0.015795474871993065
21,0.025711555033922195
22,0.018027065321803093
23,0.024248352274298668
24,0.014555461704730988
25,0.023474497720599174
26,0.022284720093011856
27,0.02134060673415661
28,0.023293090984225273
29,0.02131979539990425
30,0.011762198992073536
31,0.019317183643579483
32,0.01692322827875614
33,0.010601057671010494
34,0.01319730281829834
35,0.01476199645549059
36,0.010208269581198692
37,0.014011499471962452
38,0.01357352640479803
39,0.007393233012408018
40,0.013580120168626308
21,0.025711555033922195
22,0.018027065321803093
23,0.024248352274298668
24,0.014555461704730988
25,0.023474497720599174
26,0.022284720093011856
27,0.02134060673415661
28,0.023293090984225273
29,0.02131979539990425
30,0.011762198992073536
31,0.019317183643579483
32,0.01692322827875614
33,0.010601057671010494
34,0.01319730281829834
35,0.01476199645549059
36,0.010208269581198692
37,0.014011499471962452
38,0.01357352640479803
39,0.007393233012408018
40,0.013580120168626308
41,0.009525413624942303
42,0.009809217415750027
43,0.011512001045048237
44,0.006672610994428396
45,0.00806082971394062
46,0.01382382120937109
47,0.0096351383253932
48,0.008590596728026867
49,0.008607098832726479
50,0.02061108872294426
51,0.00725572882220149
52,0.009961195290088654
53,0.0056136734783649445
54,0.012132708914577961
55,0.006657892372459173
56,0.006113543175160885
57,0.01779252663254738
58,0.004391435533761978
59,0.010459727607667446
60,0.015243236906826496
41,0.009525413624942303
42,0.009809217415750027
43,0.011512001045048237
44,0.006672610994428396
45,0.00806082971394062
46,0.01382382120937109
47,0.0096351383253932
48,0.008590596728026867
49,0.008607098832726479
50,0.02061108872294426
51,0.00725572882220149
52,0.009961195290088654
53,0.0056136734783649445
54,0.012132708914577961
55,0.006657892372459173
56,0.006113543175160885
57,0.01779252663254738
58,0.004391435533761978
59,0.010459727607667446
60,0.015243236906826496
61,0.008176763541996479
62,0.0056195794604718685
63,0.012481151148676872
64,0.006218317896127701
65,0.008299420587718487
66,0.00501305190846324
67,0.010883430019021034
68,0.006515981163829565
69,0.009247219190001488
70,0.009291954338550568
71,0.008631248958408833
72,0.006170056294649839
73,0.009812776930630207
74,0.010304149240255356
75,0.006572312209755182
76,0.006099080201238394
77,0.008000822737812996
78,0.010735327377915382
79,0.005733164492994547
80,0.008131574839353561
61,0.008176763541996479
62,0.0056195794604718685
63,0.012481151148676872
64,0.006218317896127701
65,0.008299420587718487
66,0.00501305190846324
67,0.010883430019021034
68,0.006515981163829565
69,0.009247219190001488
70,0.009291954338550568
71,0.008631248958408833
72,0.006170056294649839
73,0.009812776930630207
74,0.010304149240255356
75,0.006572312209755182
76,0.006099080201238394
77,0.008000822737812996
78,0.010735327377915382
79,0.005733164492994547
80,0.008131574839353561
81,0.011677452363073826
82,0.006549150682985783
83,0.005235013552010059
84,0.0038753689732402563
85,0.011474506929516792
86,0.008142272010445595
87,0.0068176137283444405
88,0.004966560285538435
89,0.007964901626110077
90,0.00822774413973093
91,0.004736152943223715
92,0.005085236858576536
93,0.00803564116358757
94,0.005914351437240839
95,0.00413319980725646
96,0.005434220191091299
97,0.007588032633066177
98,0.004901961889117956
99,0.004492629319429398
100,0.007883965969085693
81,0.011677452363073826
82,0.006549150682985783
83,0.005235013552010059
84,0.0038753689732402563
85,0.011474506929516792
86,0.008142272010445595
87,0.0068176137283444405
88,0.004966560285538435
89,0.007964901626110077
90,0.00822774413973093
91,0.004736152943223715
92,0.005085236858576536
93,0.00803564116358757
94,0.005914351437240839
95,0.00413319980725646
96,0.005434220191091299
97,0.007588032633066177
98,0.004901961889117956
99,0.004492629319429398
100,0.007883965969085693
